name;rarity;equid_slot;defense;fire_res;water_res;ice_res;thunder_res;dragon_res;slot_count;slot_1_size;slot_2_size;slot_3_size;set_skill_1;skill_1;skill_1_level;skill_2;skill_2_level;skill_3;skill_3_level
Leather Headgear;1;Head;2;2;0;0;0;0;0;0;0;0;--------;Hunger Resistance;1;--------;0;--------;0
Chainmail Headgear;1;Head;2;0;2;0;0;0;0;0;0;0;--------;Master Gatherer;1;--------;0;--------;0
Hunter's Headgear;1;Head;6;2;2;0;0;0;0;0;0;0;--------;Scoutfly Range Up;1;--------;0;--------;0
Bone Helm;1;Head;6;2;0;0;2;2;0;0;0;0;--------;Health Boost;1;--------;0;--------;0
Alloy Helm;2;Head;8;-2;1;-2;-2;1;0;0;0;0;--------;Windproof;1;--------;0;--------;0
Vespoid Helm;1;Head;8;-2;1;1;1;2;0;0;0;0;--------;Quick Sheath;1;--------;0;--------;0
Jagras Helm;1;Head;8;-2;2;-1;-1;1;0;0;0;0;--------;Speed Eating;1;--------;0;--------;0
Kulu Headpiece;1;Head;10;0;-3;1;0;0;0;0;0;0;--------;Fire Resistance;1;--------;0;--------;0
Pukei Hood;2;Head;12;0;3;0;-3;1;0;0;0;0;--------;Survival Expert;1;--------;0;--------;0
Barroth Helm;2;Head;14;-3;-1;-1;3;0;0;0;0;0;--------;Guard;1;--------;0;--------;0
Jyura Helm;2;Head;14;-1;2;0;-3;0;0;0;0;0;--------;Aquatic/Polar Mobility;1;--------;0;--------;0
Kadachi Helm;2;Head;16;0;-3;0;3;0;0;0;0;0;--------;Constitution;1;--------;0;--------;0
High Metal Helm;3;Head;18;0;-1;3;-2;0;0;0;0;0;--------;Ice Resistance;1;--------;0;--------;0
Hornetaur Helm;3;Head;18;-1;-1;0;0;2;0;0;0;0;--------;Dungmaster;1;--------;0;--------;0
Shamos Goggles;3;Head;22;2;2;-3;0;0;0;0;0;0;--------;Detector;1;--------;0;--------;0
Anja Helm;3;Head;20;3;-3;-1;-1;0;0;0;0;0;Anjanath Power;Fire Attack;1;--------;0;--------;0
Rathian Helm;3;Head;22;2;0;0;-2;-3;0;0;0;0;--------;Health Boost;1;--------;0;--------;0
Tzitzi Headgear;3;Head;18;0;0;-2;-3;0;0;0;0;0;--------;Blindsider;1;--------;0;--------;0
Lumu Hat;3;Head;20;-3;2;1;0;0;0;0;0;0;--------;Stamina Surge;1;--------;0;--------;0
Girros Mask;3;Head;20;0;-3;0;2;1;0;0;0;0;--------;Horn Maestro;1;--------;0;--------;0
Baan Helm;3;Head;24;0;2;-1;0;-2;0;0;0;0;--------;Slugger;1;--------;0;--------;0
King Beetle Vertex;3;Head;22;-1;-1;0;2;2;0;0;0;0;--------;Evade Window;1;--------;0;--------;0
Butterfly Vertex;3;Head;22;-1;-1;0;2;2;0;0;0;0;--------;Evade Window;1;--------;0;--------;0
Ingot Helm;4;Head;28;-2;0;-1;3;0;0;0;0;0;--------;Thunder Attack;1;--------;0;--------;0
Legiana Helm;4;Head;30;-1;2;3;-3;0;0;0;0;0;Legiana Blessing;Divine Blessing;1;--------;0;--------;0
Odogaron Helm;4;Head;30;2;2;-3;-2;0;0;0;0;0;Odogaron Power;Bleeding Resistance;1;--------;0;--------;0
Rathalos Helm;4;Head;30;3;1;1;-2;-3;0;0;0;0;Rathalos Power;Attack Boost;1;--------;0;--------;0
Diablos Helm;4;Head;32;3;-2;-3;0;2;0;0;0;0;Diablos Power;Critical Draw;1;--------;0;--------;0
Kirin Horn;4;Head;34;-3;-2;-2;4;2;0;0;0;0;Kirin Blessing;Marathon Runner;1;--------;0;--------;0
Death Stench Brain;4;Head;32;3;2;3;-2;-4;0;0;0;0;--------;Resuscitate;1;--------;0;--------;0
Brigade Lobos;4;Head;28;1;0;0;2;2;0;0;0;0;--------;Recovery Speed;1;--------;0;--------;0
Pulverizing Feather;4;Head;32;0;0;0;0;0;0;0;0;0;--------;Bombardier;3;--------;0;--------;0
Leather Headgear α;5;Head;32;2;0;0;0;0;0;0;0;0;--------;Hunger Resistance;2;--------;0;--------;0
Leather Headgear β;5;Head;32;2;0;0;0;0;1;1;0;0;--------;Hunger Resistance;1;--------;0;--------;0
Chainmail Headgear α;5;Head;32;0;2;0;0;0;0;0;0;0;--------;Master Gatherer;1;Guard;1;--------;0
Chainmail Headgear β;5;Head;32;0;2;0;0;0;1;1;0;0;--------;Master Gatherer;1;--------;0;--------;0
Hunter's Headgear α;5;Head;36;2;2;0;0;0;0;0;0;0;--------;Scoutfly Range Up;1;Scholar;1;--------;0
Hunter's Headgear β;5;Head;36;2;2;0;0;0;1;1;0;0;--------;Scoutfly Range Up;1;--------;0;--------;0
Bone Helm α;5;Head;36;2;0;0;2;2;0;0;0;0;--------;Health Boost;1;Entomologist;1;--------;0
Bone Helm β;5;Head;36;2;0;0;2;2;1;1;0;0;--------;Health Boost;1;--------;0;--------;0
Alloy Helm α;5;Head;36;-2;0;-2;-2;0;0;0;0;0;--------;Windproof;1;Defense Boost;1;--------;0
Alloy Helm β;5;Head;36;-2;0;-2;-2;0;1;1;0;0;--------;Windproof;1;--------;0;--------;0
Vespoid Helm α;5;Head;38;-2;1;1;1;2;0;0;0;0;--------;Quick Sheath;1;Paralysis Attack;1;--------;0
Vespoid Helm β;5;Head;38;-2;1;1;1;2;1;1;0;0;--------;Quick Sheath;1;--------;0;--------;0
Hornetaur Helm α;5;Head;38;-1;-1;0;0;2;0;0;0;0;--------;Dungmaster;1;Dragon Attack;1;--------;0
Hornetaur Helm β;5;Head;38;-1;-1;0;0;2;1;1;0;0;--------;Dungmaster;1;--------;0;--------;0
Shamos Goggles α;5;Head;40;2;2;-3;0;0;0;0;0;0;--------;Detector;1;Geologist;1;--------;0
Shamos Goggles β;5;Head;40;2;2;-3;0;0;1;1;0;0;--------;Detector;1;--------;0;--------;0
Jagras Helm α;5;Head;40;-2;2;-1;-1;1;0;0;0;0;--------;Speed Eating;2;--------;0;--------;0
Jagras Helm β;5;Head;40;-2;2;-1;-1;1;1;1;0;0;--------;Speed Eating;1;--------;0;--------;0
Kulu Headpiece α;5;Head;40;0;-3;1;0;0;0;0;0;0;--------;Fire Resistance;1;Weakness Exploit;1;--------;0
Kulu Headpiece β;5;Head;40;0;-3;1;0;0;2;1;1;0;--------;Fire Resistance;1;--------;0;--------;0
Pukei Hood α;5;Head;42;0;3;0;-3;1;0;0;0;0;--------;Survival Expert;2;--------;0;--------;0
Pukei Hood β;5;Head;42;0;3;0;-3;1;2;1;1;0;--------;Survival Expert;1;--------;0;--------;0
Barroth Helm α;5;Head;42;-3;-1;-1;3;0;0;0;0;0;--------;Guard;2;--------;0;--------;0
Barroth Helm β;5;Head;42;-3;-1;-1;3;0;1;1;0;0;--------;Guard;1;--------;0;--------;0
Jyura Helm α;5;Head;44;-1;2;0;-3;0;0;0;0;0;--------;Aquatic/Polar Mobility;2;--------;0;--------;0
Jyura Helm β;5;Head;44;-1;2;0;-3;0;1;1;0;0;--------;Aquatic/Polar Mobility;1;--------;0;--------;0
Kadachi Helm α;5;Head;44;0;-3;0;3;0;0;0;0;0;--------;Constitution;2;--------;0;--------;0
Kadachi Helm β;5;Head;44;0;-3;0;3;0;1;2;0;0;--------;Constitution;1;--------;0;--------;0
Anja Helm α;5;Head;44;3;-3;-1;-1;0;0;0;0;0;Anjanath Will;Fire Attack;2;Fire Resistance;1;--------;0
Anja Helm β;5;Head;44;3;-3;-1;-1;0;1;2;0;0;Anjanath Will;Fire Attack;2;--------;0;--------;0
Rathian Helm α;5;Head;46;2;0;0;-2;-3;0;0;0;0;--------;Health Boost;2;Poison Attack;1;--------;0
Rathian Helm β;5;Head;46;2;0;0;-2;-3;1;1;0;0;--------;Health Boost;1;Poison Attack;1;--------;0
Tzitzi Headgear α;5;Head;40;0;0;-2;-3;0;0;0;0;0;--------;Blindsider;1;Stun Resistance;1;--------;0
Tzitzi Headgear β;5;Head;40;0;0;-2;-3;0;1;1;0;0;--------;Blindsider;1;--------;0;--------;0
Lumu Hat α;5;Head;44;-3;2;1;0;0;0;0;0;0;--------;Stamina Surge;2;--------;0;--------;0
Lumu Hat β;5;Head;44;-3;2;1;0;0;1;2;0;0;--------;Stamina Surge;1;--------;0;--------;0
Girros Mask α;5;Head;40;0;-3;0;2;1;0;0;0;0;--------;Horn Maestro;1;Paralysis Resistance;1;--------;0
Girros Mask β;5;Head;40;0;-3;0;2;1;1;1;0;0;--------;Horn Maestro;1;--------;0;--------;0
Baan Helm α;6;Head;46;0;2;-1;0;-2;0;0;0;0;--------;Tremor Resistance;2;--------;0;--------;0
Baan Helm β;6;Head;46;0;2;-1;0;-2;1;2;0;0;--------;Tremor Resistance;1;--------;0;--------;0
High Metal Helm α;6;Head;50;0;-1;3;-2;0;0;0;0;0;--------;Ice Resistance;2;Earplugs;1;--------;0
High Metal Helm β;6;Head;50;0;-1;3;-2;0;1;2;0;0;--------;Ice Resistance;2;--------;0;--------;0
Ingot Helm α;6;Head;50;-2;0;-1;3;0;0;0;0;0;--------;Thunder Attack;2;--------;0;--------;0
Ingot Helm β;6;Head;50;-2;0;-1;3;0;1;1;0;0;--------;Thunder Attack;1;--------;0;--------;0
Gastodon Horn α;5;Head;48;3;0;0;0;0;0;0;0;0;--------;Flinch Free;1;Blast Resistance;1;--------;0
Gastodon Horn β;5;Head;48;3;0;0;0;0;1;1;0;0;--------;Flinch Free;1;--------;0;--------;0
Rath Heart Helm α;6;Head;52;3;0;0;-3;-4;0;0;0;0;Pink Rathian Mastery;Evade Extender;1;Poison Attack;1;--------;0
Rath Heart Helm β;6;Head;52;3;0;0;-3;-4;1;2;0;0;Pink Rathian Mastery;Evade Extender;1;--------;0;--------;0
Legiana Helm α;6;Head;54;-1;2;3;-3;0;0;0;0;0;Legiana Favor;Divine Blessing;2;Ice Attack;1;--------;0
Legiana Helm β;6;Head;54;-1;2;3;-3;0;1;1;0;0;Legiana Favor;Divine Blessing;2;--------;0;--------;0
Odogaron Helm α;6;Head;54;2;2;-3;-2;0;0;0;0;0;Odogaron Mastery;Bleeding Resistance;2;Critical Eye;1;--------;0
Odogaron Helm β;6;Head;54;2;2;-3;-2;0;1;2;0;0;Odogaron Mastery;Bleeding Resistance;2;--------;0;--------;0
Rathalos Helm α;6;Head;54;3;1;1;-2;-3;0;0;0;0;Rathalos Mastery;Attack Boost;2;Fire Attack;1;--------;0
Rathalos Helm β;6;Head;54;3;1;1;-2;-3;1;1;0;0;Rathalos Mastery;Attack Boost;2;--------;0;--------;0
Rath Soul Helm α;7;Head;56;3;2;-3;2;-4;0;0;0;0;Rathalos Mastery;Critical Boost;1;Intimidator;2;--------;0
Rath Soul Helm β;7;Head;56;3;2;-3;2;-4;2;1;1;0;Rathalos Mastery;Critical Boost;1;--------;0;--------;0
Diablos Helm α;6;Head;54;3;-2;-3;0;2;0;0;0;0;Diablos Mastery;Critical Draw;2;Heroics;1;--------;0
Diablos Helm β;6;Head;54;3;-2;-3;0;2;1;2;0;0;Diablos Mastery;Critical Draw;2;--------;0;--------;0
Diablos Nero Helm α;7;Head;56;2;-3;-4;0;2;1;1;0;0;Diablos Mastery;Focus;2;--------;0;--------;0
Diablos Nero Helm β;7;Head;56;2;-3;-4;0;2;1;3;0;0;Diablos Mastery;Focus;1;--------;0;--------;0
Dodogama Helm α;5;Head;48;2;0;0;-3;2;0;0;0;0;--------;Blast Resistance;2;--------;0;--------;0
Dodogama Helm β;5;Head;48;2;0;0;-3;2;1;1;0;0;--------;Blast Resistance;1;--------;0;--------;0
Lavasioth Helm α;6;Head;56;3;-3;-2;1;2;0;0;0;0;--------;Fire Attack;2;Quick Sheath;1;--------;0
Lavasioth Helm β;6;Head;56;3;-3;-2;1;2;2;1;1;0;--------;Fire Attack;1;Quick Sheath;1;--------;0
Uragaan Helm α;7;Head;60;4;-3;-2;1;-2;1;3;0;0;Uragaan Protection;Thunder Resistance;2;--------;0;--------;0
Uragaan Helm β;7;Head;60;4;-3;-2;1;-2;2;3;1;0;Uragaan Protection;Thunder Resistance;1;--------;0;--------;0
Nergigante Helm α;8;Head;64;1;1;1;-3;-3;1;1;0;0;Nergigante Hunger;Maximum Might;2;Attack Boost;1;--------;0
Nergigante Helm β;8;Head;64;1;1;1;-3;-3;2;1;1;0;Nergigante Hunger;Maximum Might;2;--------;0;--------;0
