name;is_set_bonus
Adrenaline;False
Affinity Sliding;False
Agitator;False
Airborne;False
Alatreon Divinity;True
Ancient Divinity;True
Anjanath Dominance;True
Anjanath Power;True
Anjanath Will;True
Appreciation Blessing;True
Aquatic/Polar Mobility;False
Artillery;False
Astera Blessing;True
Attack Boost;False
BBQ Master;False
Barioth Hidden Art;True
Bazelgeuse Ambition;True
Bazelgeuse Protection;True
Blast Attack;False
Blast Functionality;False
Blast Resistance;False
Bleeding Resistance;False
Blight Resistance;False
Blindsider;False
Bludgeoner;False
Bombardier;False
Botanist;False
Bow Charge Plus;False
Brachydios Essence;True
Brachydios Will;True
Capacity Boost;False
Carving Pro;False
Cliffhanger;False
Clutch Claw Boost;False
Coalescence;False
Coldproof;False
Commission Alchemy;True
Commission Guidance;True
Constitution;False
Critical Boost;False
Critical Draw;False
Critical Element;False
Critical Eye;False
Critical Status;False
Defense Boost;False
Detector;False
Deviljho Essence;True
Diablos Ambition;True
Diablos Mastery;True
Diablos Power;True
Divine Blessing;False
Dragon Attack;False
Dragon Resistance;False
Dungmaster;False
Earplugs;False
Effluvia Resistance;False
Effluvial Expert;False
Elderseal Boost;False
Entomologist;False
Evade Extender;False
Evade Window;False
Fatalis Legend;True
Fire Attack;False
Fire Resistance;False
Flinch Free;False
Focus;False
Forager's Luck;False
Fortify;False
Free Elem/Ammo Up;False
Free Meal;False
Frostfang Absolute Art;True
Full Bloom Blessing;True
Fun Fright Blessing;True
Geologist;False
Glavenus Essence;True
Gold Rathian Essence;True
Guard;False
Guard Up;False
Guild Guidance;True
Guild Pride;True
Guts;False
Handicraft;False
Hasten Recovery;False
Health Boost;False
Heat Guard;False
Heavy Artillery;False
Heroics;False
Honey Hunter;False
Horn Maestro;False
Hunger Resistance;False
Ice Attack;False
Ice Resistance;False
Instructor's Guidance;True
Intimidator;False
Iron Skin;False
Item Prolonger;False
Joyful Blessing;True
Jump Master;False
Kirin Blessing;True
Kirin Divinity;True
Kirin Favor;True
Kulve Taroth Essence;True
Kushala Daora Flight;True
Latent Power;False
Leap of Faith;False
Legiana Ambition;True
Legiana Blessing;True
Legiana Favor;True
Lunastra Essence;True
Lunastra Favor;True
Marathon Runner;False
Master Fisher;False
Master Gatherer;False
Master Mounter;False
Maximum Might;False
Mind's Eye/Ballistics;False
Muck Resistance;False
Mushroomancer;False
Namielle Divinity;True
Nargacuga Essence;True
Nergigante Ambition;True
Nergigante Hunger;True
New World;True
Non-elemental Boost;False
Normal Shots;False
Odogaron Essence;True
Odogaron Mastery;True
Odogaron Power;True
Offensive Guard;False
Palico Rally;False
Para Functionality;False
Paralysis Attack;False
Paralysis Resistance;False
Partbreaker;False
Peak Performance;False
Piercing Shots;False
Pink Rathian Mastery;True
Poison Attack;False
Poison Functionality;False
Poison Resistance;False
Power Cell;True
Power Prolonger;False
Pro Transporter;False
Protective Polish;False
Provoker;False
Quick Sheath;False
Rajang Will;True
Rajang's Rage;True
Rathalos Essence;True
Rathalos Mastery;True
Rathalos Power;True
Rathian Essence;True
Razor Sharp/Spare Shot;False
Recovery Speed;False
Recovery Up;False
Resentment;False
Resuscitate;False
Safe Landing;False
Safi'jiiva Seal;True
Scenthound;False
Scholar;False
Scoutfly Range Up;False
Shara Ishvalda Divinity;True
Silver Rathalos Essence;True
Sizzling Blessing;True
Sleep Attack;False
Sleep Functionality;False
Sleep Resistance;False
Slinger Capacity;False
Slugger;False
Soul of the Dragoon;True
Special Ammo Boost;False
Speed Crawler;False
Speed Eating;False
Speed Sharpening;False
Spread/Power Shots;False
Stamina Surge;False
Stamina Thief;False
Stealth;False
Stun Resistance;False
Survival Expert;False
Survivor;True
Teostra Technique;True
Thunder Attack;False
Thunder Resistance;False
Tigrex Essence;True
Tool Specialist;False
Tremor Resistance;False
Uragaan Ambition;True
Uragaan Protection;True
Vaal Hazak Vitality;True
Vaal Soulvein;True
Velkhana Divinity;True
Water Attack;False
Water Resistance;False
Weakness Exploit;False
Wide-Range;False
Windproof;False
Witcher's Knowledge;True
Xeno'jiiva Divinity;True
Zinogre Essence;True
Zorah Magdaros Essence;True
Zorah Magdaros Mastery;True
