name|rarity|equid_slot|defense|fire_res|water_res|ice_res|thunder_res|dragon_res|slot_count|slot_1_size|slot_2_size|slot_3_size|set_skill_1|skill_1|skill_1_level|skill_2|skill_2_level|skill_3|skill_3_level
Leather Headgear|1|Head|2|2|0|0|0|0|0|0|0|0|0: --------|77: Hunger Resistance|1|0: --------|0|0: --------|0
Chainmail Headgear|1|Head|2|0|2|0|0|0|0|0|0|0|0: --------|94: Master Gatherer|1|0: --------|0|0: --------|0
Hunter's Headgear|1|Head|6|2|2|0|0|0|0|0|0|0|0: --------|105: Scoutfly Range Up|1|0: --------|0|0: --------|0
Bone Helm|1|Head|6|2|0|0|2|2|0|0|0|0|0: --------|21: Health Boost|1|0: --------|0|0: --------|0
Alloy Helm|2|Head|8|-2|1|-2|-2|1|0|0|0|0|0: --------|12: Windproof|1|0: --------|0|0: --------|0
Vespoid Helm|1|Head|8|-2|1|1|1|2|0|0|0|0|0: --------|81: Quick Sheath|1|0: --------|0|0: --------|0
Jagras Helm|1|Head|8|-2|2|-1|-1|1|0|0|0|0|0: --------|85: Speed Eating|1|0: --------|0|0: --------|0
Kulu Headpiece|1|Head|10|0|-3|1|0|0|0|0|0|0|0: --------|24: Fire Resistance|1|0: --------|0|0: --------|0
Pukei Hood|2|Head|12|0|3|0|-3|1|0|0|0|0|0: --------|108: Survival Expert|1|0: --------|0|0: --------|0
Barroth Helm|2|Head|14|-3|-1|-1|3|0|0|0|0|0|0: --------|80: Guard|1|0: --------|0|0: --------|0
Jyura Helm|2|Head|14|-1|2|0|-3|0|0|0|0|0|0: --------|109: Aquatic/Polar Mobility|1|0: --------|0|0: --------|0
Kadachi Helm|2|Head|16|0|-3|0|3|0|0|0|0|0|0: --------|74: Constitution|1|0: --------|0|0: --------|0
High Metal Helm|3|Head|18|0|-1|3|-2|0|0|0|0|0|0: --------|26: Ice Resistance|1|0: --------|0|0: --------|0
Hornetaur Helm|3|Head|18|-1|-1|0|0|2|0|0|0|0|0: --------|14: Dungmaster|1|0: --------|0|0: --------|0
Shamos Goggles|3|Head|22|2|2|-3|0|0|0|0|0|0|0: --------|119: Detector|1|0: --------|0|0: --------|0
Anja Helm|3|Head|20|3|-3|-1|-1|0|0|0|0|0|125: Anjanath Power|30: Fire Attack|1|0: --------|0|0: --------|0
Rathian Helm|3|Head|22|2|0|0|-2|-3|0|0|0|0|0: --------|21: Health Boost|1|0: --------|0|0: --------|0
Tzitzi Headgear|3|Head|18|0|0|-2|-3|0|0|0|0|0|0: --------|112: Blindsider|1|0: --------|0|0: --------|0
Lumu Hat|3|Head|20|-3|2|1|0|0|0|0|0|0|0: --------|76: Stamina Surge|1|0: --------|0|0: --------|0
Girros Mask|3|Head|20|0|-3|0|2|1|0|0|0|0|0: --------|68: Horn Maestro|1|0: --------|0|0: --------|0
Baan Helm|3|Head|24|0|2|-1|0|-2|0|0|0|0|0: --------|57: Slugger|1|0: --------|0|0: --------|0
King Beetle Vertex|3|Head|22|-1|-1|0|2|2|0|0|0|0|0: --------|78: Evade Window|1|0: --------|0|0: --------|0
Butterfly Vertex|3|Head|22|-1|-1|0|2|2|0|0|0|0|0: --------|78: Evade Window|1|0: --------|0|0: --------|0
Ingot Helm|4|Head|28|-2|0|-1|3|0|0|0|0|0|0: --------|33: Thunder Attack|1|0: --------|0|0: --------|0
Legiana Helm|4|Head|30|-1|2|3|-3|0|0|0|0|0|151: Legiana Blessing|97: Divine Blessing|1|0: --------|0|0: --------|0
Odogaron Helm|4|Head|30|2|2|-3|-2|0|0|0|0|0|153: Odogaron Power|7: Bleeding Resistance|1|0: --------|0|0: --------|0
Rathalos Helm|4|Head|30|3|1|1|-2|-3|0|0|0|0|128: Rathalos Power|19: Attack Boost|1|0: --------|0|0: --------|0
Diablos Helm|4|Head|32|3|-2|-3|0|2|0|0|0|0|129: Diablos Power|55: Critical Draw|1|0: --------|0|0: --------|0
Kirin Horn|4|Head|34|-3|-2|-2|4|2|0|0|0|0|130: Kirin Blessing|73: Marathon Runner|1|0: --------|0|0: --------|0
Death Stench Brain|4|Head|32|3|2|3|-2|-4|0|0|0|0|0: --------|67: Resuscitate|1|0: --------|0|0: --------|0
Brigade Lobos|4|Head|28|1|0|0|2|2|0|0|0|0|0: --------|23: Recovery Speed|1|0: --------|0|0: --------|0
