id;level;unlock_skill_1;unlock_skill_2;unlock_skill_3;unlock_skill_4;unlock_skill_5;unlock_skill_6
1: Poison Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
1: Poison Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
1: Poison Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
2: Paralysis Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
2: Paralysis Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
2: Paralysis Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
3: Sleep Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
3: Sleep Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
3: Sleep Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
4: Stun Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
4: Stun Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
4: Stun Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
5: Muck Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
6: Blast Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
6: Blast Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
6: Blast Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
7: Bleeding Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
7: Bleeding Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
7: Bleeding Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
8: Iron Skin;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
8: Iron Skin;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
8: Iron Skin;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
11: Earplugs;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
11: Earplugs;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
11: Earplugs;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
11: Earplugs;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
11: Earplugs;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
12: Windproof;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
12: Windproof;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
12: Windproof;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
12: Windproof;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
12: Windproof;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
13: Tremor Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
13: Tremor Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
13: Tremor Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
14: Dungmaster;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
16: Effluvial Expert;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
17: Heat Guard;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
19: Attack Boost;7;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
20: Defense Boost;7;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
21: Health Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
21: Health Boost;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
21: Health Boost;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
22: Recovery Up;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
22: Recovery Up;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
22: Recovery Up;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
23: Recovery Speed;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
23: Recovery Speed;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
23: Recovery Speed;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
24: Fire Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
24: Fire Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
24: Fire Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
25: Water Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
25: Water Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
25: Water Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
26: Ice Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
26: Ice Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
26: Ice Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
27: Thunder Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
27: Thunder Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
27: Thunder Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
28: Dragon Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
28: Dragon Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
28: Dragon Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
29: Blight Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
29: Blight Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
29: Blight Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
30: Fire Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
30: Fire Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
30: Fire Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
30: Fire Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
30: Fire Attack;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
31: Water Attack;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
32: Ice Attack;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
33: Thunder Attack;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
34: Dragon Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
34: Dragon Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
34: Dragon Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
34: Dragon Attack;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
